target_token,recall,precision,f1
theo,1.0,0.9996146435452794,0.9998072846405858
lý,0.9937106918238994,0.9497267759562842,0.9712210114557139
thuyết,1.0,1.0,1.0
này,0.9950564971751412,0.9207144412981921,0.9564430365425953
dầu,0.06614785992217899,1.0,0.12408759124087591
đầu,1.0,0.8243654822335026,0.9037284362826934
mỏ,0.14942528735632185,1.0,0.26000000000000006
mở,0.9571788413098237,0.6239737274220033,0.7554671968190856
phát,0.9988876529477196,0.9368805425143454,0.9668909825033647
sinh,1.0,0.9972770592239619,0.9986366734832993
từ,0.9582961641391614,0.705119789957335,0.8124409151068254
phản,0.6987767584097859,0.9501039501039501,0.8052863436123348
ứng,1.0,0.9244060475161987,0.9607182940516273
hóa,0.887627695800227,0.7588549247937895,0.8182055976981428
học,1.0,0.9959432048681541,0.9979674796747968
giữa,1.0,0.9978858350951374,0.9989417989417989
cacbua,1.0,1.0,1.0
kim,1.0,0.9927234927234927,0.9963484611371936
loại,0.9531554977228367,0.884127942063971,0.9173450219160928
với,1.0,0.9825905292479109,0.9912188268352652
nước,1.0,0.9993084370677732,0.9996540989277066
tại,0.9967689822294022,0.8820586132952108,0.9359120212362533
nhiệt,1.0,1.0,1.0
độ,0.8627272727272727,0.8387096774193549,0.8505489580999327
cao,1.0,0.9605263157894737,0.9798657718120806
ở,1.0,0.9401913875598086,0.969173859432799
sâu,0.234375,1.0,0.379746835443038
sau,1.0,0.9041509433962264,0.9496630994847403
trong,0.9994741823535598,0.9504950495049505,0.9743694894402296
lòng,0.8580246913580247,0.7513513513513513,0.8011527377521613
trái,0.9889135254988913,0.9550321199143469,0.971677559912854
đất,0.9727138643067846,0.9102829537612146,0.9404634581105169
tạo,1.0,0.9381912817176318,0.9681101040617658
thành,0.9980302035456337,0.8598906279464454,0.9238249594813613
các,1.0,0.9998600713636046,0.9999300307864539
hiđrocacbon,0.0,-1,-1
hidrocacbon,1.0,0.09090909090909091,0.16666666666666669
và,1.0,0.9943372483221476,0.9971605847092229
đó,0.9552033080634046,0.6457023060796646,0.7705350938151494
bị,1.0,0.917351598173516,0.9568944986901643
đẩy,0.532258064516129,0.825,0.6470588235294118
lên,1.0,0.9875986471251409,0.9937606352807714
trên,1.0,1.0,1.0
vi,0.6606851549755302,0.9782608695652174,0.7887049659201558
vị,0.9206625980819529,0.8173374613003096,0.8659286592865928
vật,1.0,0.9920085242408098,0.9959882321476331
sống,0.9696969696969697,0.7540983606557377,0.848414985590778
qua,0.9748263888888888,0.87734375,0.9235197368421052
hàng,0.983991462113127,0.6942771084337349,0.8141280353200884
tỷ,0.9901960784313726,0.8725701943844493,0.9276693455797934
năm,0.9872822299651568,0.9219131283552953,0.9534785900563642
đã,0.9989047097480832,0.8241460328935478,0.9031491384432561
chuyển,0.9901960784313726,0.9119638826185101,0.9494712103407755
chúng,0.9674418604651163,0.8176100628930818,0.8862377503195569
hỗn,0.7131782945736435,0.9787234042553191,0.8251121076233184
hợp,1.0,0.93340922026181,0.965557845157492
hiđrôcacbon,0.0,-1,-1
khác,1.0,0.9402326514239872,0.9691957825098201
nhau,1.0,1.0,1.0
là,1.0,0.9617917360156306,0.9805237919586869
một,1.0,0.9996602876231457,0.9998301149555467
đề,0.769433465085639,0.9373996789727127,0.8451519536903039
tài,0.7611650485436893,0.9180327868852459,0.8322717622080679
gây,1.0,0.9140625,0.9551020408163265
nhiều,1.0,0.9789437348981705,0.9893598465027037
tranh,1.0,0.9218559218559218,0.9593392630241423
cãi,0.875,1.0,0.9333333333333333
giới,1.0,0.9750915750915751,0.9873887240356083
khoa,0.9963436928702011,0.9478260869565217,0.9714795008912656
trường,0.9972733469665985,0.8866666666666667,0.9387231312159128
phái,0.8076923076923077,0.9081081081081082,0.8549618320610687
nga,1.0,0.8062015503875969,0.8927038626609441
ukraina,1.0,1.0,1.0
việc,1.0,0.9989010989010989,0.999450247388675
giải,0.9988713318284425,0.9866220735785953,0.9927089175546832
thích,1.0,1.0,1.0
nguồn,1.0,0.9982638888888888,0.999131190269331
gốc,0.9896103896103896,0.8964705882352941,0.9407407407407408
thứ,0.9577586206896552,0.8372268274302939,0.8934459187776437
ba,0.9344660194174758,0.8789954337899544,0.9058823529411766
được,1.0,0.9945758298980256,0.9972805395409551
nguyệt,1.0,1.0,1.0
san,0.5909090909090909,0.9629629629629629,0.732394366197183
scientific,1.0,1.0,1.0
american,1.0,1.0,1.0
vào,1.0,0.9994436717663422,0.9997217584863662
cho,1.0,0.9355588421719839,0.9667066914092347
rằng,1.0,0.9350533807829181,0.9664367816091954
